First Hash - Ehe -- Second Ehe  (sagen,1) (Verhältnis,1) (selbstverständlich,1) (schlagen,1) (Bett,1) (müssen,1)
First Hash - Stimme -- Second Stimme  (können,2) (früh,1) (beruhigen,1) (gehören,1) (antwortend,2) (Weile,1) (Gregor,7) (antworten,1) (rufen,2) (Zimmer,1) (Wort,2) (offenbar,1) (haben,1) (Nebenzimmer,1) (Aufenthalt,1) (kennen,1) (bereit,1) (Vater,2) (neu,1) (Besprechung,1) (Schlafzimmer,1) (Auffallend,1) (verbarrikadieren,1) (erheben,1) (warten,1) (Gott,2) (sanft,1) (Prokurist,1) (Schwester,1) (laufen,1) (geben,1) (rauh,1) (vergessen,1) (drücken,1) (»,2) (schreiend,1) (sein,4) (vorlesen,1) (Pause,1) (betreffend,1) (Wolltest,1) (husten,1) (mahnen,1) (klingen,1) (Tür,1) (erschrak,2) (nehmen,1) (dumpfer,1) (wegfahren,1) (einzig,1) (Gret,1) (auflösen,1) (erhoben,2) (lang,1) (aufrütteln,1) (verlieren,1) (bekommen,1) (Veränderung,2) (tief,1) (klar,1) (erhorchen,1) (Gesicht,1) (unverkennbar,1) (entscheidend,1) (hören,5) (verstehen,1) (pflegen,1) (Klang,1) (bemühen,1) (Dienst,1) (fallen,1) (vorgesetzter,1) (Lärm,1) (Dunkel,1) (Mutter,3) (tüchtig,1) (sehen,2) (werden,1) (Vorbot,1) (wagen,1) (merken,1) (einzeln,1)
First Hash - Zuhausebleiben -- Second Zuhausebleiben  (denken,1) (Krankheit,1) (überstehen,1) (melden,1) (werden,1) (Herr,1)
First Hash - Gewissensbisse -- Second Gewissensbisse  (ausnützen,1) (sein,1) (Geschäft,1) (haben,1) (närrisch,1) (werden,1)
First Hash - Klage -- Second Klage  (Preis,1) (Verhältnis,1) (gegenwärtig,1) (sein,1) (erfahren,1) (groß,1)
First Hash - Traum -- Second Traum  (denken,2) (unruhig,1) (richtig,1) (geschehen,1) (sein,3) (erwähnen,1) (gut,1) (finden,1) (Absicht,1) (Bestätigung,1) (Samsa,1) (Zimmer,1) (Konservatorium,1) (schön,1) (Morgen,1) (erwachen,1) (Verwirklichung,1) (Bett,1) (Ziel,1) (klein,1) (neu,1)
First Hash - heller -- Second heller  (Last,1) (Schloß,1) (ganz,1) (zurückschnappend,1) (Klang,1) (Körper,1)
First Hash - froh -- Second froh  (sein,5) (Komm,1) (kommen,1) (wütend,1) (Laune,1) (gleichzeitig,1) (Gregor,1) (verschwinden,1) (sämtlich,1) (Mutter,1) (Kopf,1) (unzugänglich,1) (sehen,1) (ziehen,1)
First Hash - Wirklichkeit -- Second Wirklichkeit  (langsam,1) (Möglichkeit,1) (umdrehen,1) (rasch,1) (merken,1) (Vater,1)
First Hash - bessern -- Second bessern  (können,1) (bleiben,1) (haben,1) (Schwester,1) (Schmutz,1) (sehen,1)
First Hash - nachsehen -- Second nachsehen  (schätzen,1) (linker,1) (Türe,1) (sein,1) (geschehen,1) (Leintuch,1) (Schwester,1) (vorsichtig,1) (lüften,1) (lernen,1) (Einrichtung,1) (neu,1)
First Hash - zischen -- Second zischen  (einfiel,1) (laut,1) (schließen,1) (Wut,1) (Tür,1) (Gregor,1)
First Hash - wischen -- Second wischen  (sagen,1) (niederfließen,1) (Handbewegung,1) (Kind,1) (mechanisch,1) (Vater,1)
First Hash - klopfen -- Second klopfen  (sagen,1) (verlassen,1) (sein,1) (schlagen,1) (schwach,1) (Tür,2) (Seitentür,1) (Gregor,1) (Wecker,1) (ungeduldig,1) (Kopfende,1) (Haus,1) (vorsichtig,1) (erwarten,1) (fragen,1) (Vater,2)
First Hash - Ersatz -- Second Ersatz  (Stunde,1) (vollständig,1) (genügend,1) (Meinung,1) (Abend,1) (Wohnzimmertür,1)
First Hash - hinunterjagen -- Second hinunterjagen  (können,1) (versuchen,1) (Wand,1) (bringen,1) (Sicherheit,1) (sitzen,1)
First Hash - beobachten -- Second beobachten  (drehen,1) (Raum,1) (Frau,1) (Ruhe,1) (Wohnzimmer,1) (Gregor,1) (rufen,1) (wirklich,1) (haben,3) (Kriechen,1) (gönnen,1) (scharf,1) (Sessel,1) (Vater,1) (Stunde,1) (still,1) (Rand,1) (besorgt,1) (pflegen,1) (vorschieben,1) (bestimmen,1) (Fenster,1) (bemerken,1) (Kanapee,1) (Samsa,1) (bleiben,1) (öffnen,1) (Weilchen,1) (tatsächlich,1) (Wohnzimmertür,1) (Milch,1) (werden,2) (Rückkehr,1)
First Hash - Nachklang -- Second Nachklang  (Deutlichkeit,1) (wissen,1) (beließ,1) (zerstören,1) (recht,1) (Augenblick,1)
First Hash - einförmig -- Second einförmig  (Lauf,1) (Ansprache,1) (verbinden,1) (menschlich,1) (Familie,1) (Leben,1)
First Hash - strecken -- Second strecken  (sein,1) (gelingen,1) (gewöhnlich,1) (rechter,1) (weit,1) (Gregor,1) (Sinn,1) (stark,1) (wollte,1) (Bein,1) (Verwirrung,1) (ziehen,1) (fühlen,1) (bekommen,1) (einknicken,1) (Sohle,1) (blähen,1) (vollständig,1) (Vorzimmer,1) (lassen,1) (hineinfallen,1) (ausführen,1) (Hand,1) (Kanapee,1) (vergehen,1) (Weise,1) (verbrennen,1) (Abendschläfchen,1) (sehen,1) (festgenageln,1)
First Hash - Kassiererin -- Second Kassiererin  (Erinnerung,1) (langsam,1) (flüchtig,1) (lieb,1) (Hutgeschäft,1) (ernsthaft,1)
First Hash - gemütlich -- Second gemütlich  (bequem,1) (rufen,1) (Zimmer,2) (sein,1) (warmen,1) (ererbt,1) (Höhle,1) (ausgestattet,1) (Möbel,1) (spielen,1) (Vater,1)
First Hash - geschnitzt -- Second geschnitzt  (freistand,1) (Zacke,1) (Wand,1) (sorgfältig,1) (Spitze,1) (Möbel,1)
First Hash - halten -- Second halten  (drehen,1) (Rücken,1) (Komm,1) (Bedarf,1) (Bedienerin,1) (neigen,1) (spie,1) (Gregor,5) (besonderer,2) (Luft,1) (Wort,1) (haben,3) (stundenlang,1) (Bogen,1) (Ehre,1) (schwierig,1) (bringen,1) (vertreiben,2) (rieb,1) (Ballen,1) (Schlüssel,1) (Violine,1) (Schlafzimmer,1) (aufrecht,2) (Tier,1) (lassen,1) (Geräusch,1) (Auge,2) (erster,1) (eilen,1) (Geschäft,1) (scheinen,2) (Weise,1) (nötig,1) (Andenken,1) (Schwester,2) (Note,1) (schütteln,1) (Bett,1) (kräftigen,1) (Herr,1) (frei,1) (Plafond,1) (denken,1) (lieben,1) (gut,1) (aufhalten,1) (Tür,4) (groß,1) (dürfen,1) (Hilfe,2) (leben,1) (süßlich,1) (kroch,1) (Stelle,1) (verfolgen,1) (Boden,2) (rennen,1) (Kopf,4) (Mund,2) (Angst,1) (bekommen,1) (wollen,1) (klein,1) (schlagen,2) (pfiff,1) (schwingen,1) (Bissen,1) (vorsichtig,1) (Vernunftgrund,1) (Küche,1) (Tag,1) (umfangen,1) (werfen,1) (Voraussicht,1) (können,1) (Mistkäfer,1) (Schloß,1) (Stirn,1) (angeschlagen,1) (heben,1) (Ruhe,1) (beruhigen,1) (Gegenstand,1) (bestürzt,1) (Stück,1) (riß,1) (verursachen,1) (umtanzen,1) (Nebenzimmer,1) (Stiefelsohlen,1) (Vater,3) (stehen,1) (alt,1) (Gott,1) (Fläschchen,1) (müssen,2) (Hand,4) (Prokurist,2) (unaufhörlich,1) (Zimmerherre,1) (spielen,1) (sagen,1) (sein,2) (rieben,1) (Bosheit,1) (betreffend,1) (schließen,1) (Kasten,1) (Besen,1) (Absicht,2) (staunen,1) (aufmerksam,1) (Anruf,1) (langsam,1) (wissen,1) (besuchen,1) (Riesengröße,1) (Beinchen,1) (wahrscheinlich,1) (lang,2) (eng,1) (freundlich,1) (gewinnen,1) (machen,1) (Partei,1) (überzeugen,1) (nachlässig,1) (suchen,1) (Spiel,1) (Mutter,2) (sehen,2) (versperren,1) (lächeln,1)
First Hash - gefühlt -- Second gefühlt  (leicht,1) (lassen,1) (Seite,1) (Schmerz,1) (dumpf,1) (müssen,1)
First Hash - schmerz -- Second schmerz  (fing,1) (Schwester,1) (Mutter,1) (Gregor,1) (neu,1) (Vater,1)
First Hash - Türöffnung -- Second Türöffnung  (glücklich,1) (sein,2) (schief,1) (heben,1) (Kopf,1) (liegen,1) (Körper,1) (zeigen,1) (zurückdrehen,1) (wundgerieben,1) (Flanke,1)
First Hash - Türspalt -- Second Türspalt  (sein,2) (feststellen,1) (haben,1) (Gas,1) (Wohnzimmer,1) (peinlich,1) (sehen,1) (Vollbärt,1) (Gregor,2) (anzünden,1)
First Hash - Türklinke -- Second Türklinke  (schließen,1) (kündigen,1) (augenblicklich,1) (Krach,1) (Tür,1) (fassen,1)
First Hash - freilassen -- Second freilassen  (Aufregung,1) (ausführen,1) (arbeiten,1) (hoch,1) (schmerzlich,1) (wollen,1)
First Hash - Tasche -- Second Tasche  (Obstschale,1) (Kredenz,1) (stehen,1) (vorläufig,1) (haben,1) (Röckchen,1) (kommen,1) (Hand,1) (hell,1) (werfen,1) (füllen,1) (abgenützt,1)
First Hash - beherrschen -- Second beherrschen  (verschieden,1) (können,3) (sein,1) (zuschlug,1) (Wand,1) (Mensch,1) (Bewegung,1) (Tür,1) (Gregor,1) (wegfliegen,1) (erschrak,1) (leer,1) (wollte,1) (Gret,1) (werden,1) (einknicken,1)
First Hash - fürchten -- Second fürchten  (können,1) (sein,2) (vorläufig,1) (nächster,1) (heben,1) (hinfällig,1) (Bedienerin,1) (Bestimmtheit,1) (Tür,1) (Gregor,1) (Zimmer,1) (Flucht,1) (Vater,2) (überanstrengen,1) (hören,1) (machen,1) (bewegen,1) (zeitraubend,1) (unmöglich,1) (gewiß,1) (Umdrehung,1) (Nähe,1) (Warnung,1) (Mutter,1) (dauern,1) (werden,1) (Fußboden,1) (wenden,1)
First Hash - Posten -- Second Posten  (können,2) (sein,1) (Gefahr,1) (Chef,1) (gut,1) (erreichen,1) (wachen,1) (Eltern,1) (haben,2) (Prokurist,1) (loswerden,1) (Tag,1) (spät,1) (verlieren,1) (Französisch,1) (Vater,1)
First Hash - kitzeln -- Second kitzeln  (Erfolg,1) (Tür,1) (suchen,1) (werden,1) (zeigen,1) (Gregor,1)
First Hash - Leiche -- Second Leiche  (sagen,1) (Schlafzimmer,1) (Besen,1) (Stück,1) (gehen,1) (groß,1) (zurückzusehen,1) (Auge,1) (Gregor,1) (stoßen,1) (Eltern,1) (Beispiel,1) (Seht,1) (Gret,2) (Beweis,1) (wenden,1) (lächeln,1)
First Hash - Ohnmacht -- Second Ohnmacht  (können,1) (wecken,1) (holen,1) (Essenz,1) (haben,1) (Schwester,1) (Mutter,2) (verschaffen,1) (Atemfreiheit,1) (entkleiden,1) (Gregor,1)
First Hash - viertelstundenlang -- Second viertelstundenlang  (langsam,1) (Ermahnung,1) (Kopf,1) (schütteln,1) (eindringen,1) (klein,1)
First Hash - Chef -- Second Chef  (können,1) (früh,1) (sollen,1) (kündigen,1) (ernsthaft,1) (krank,2) (Gregor,1) (reden,1) (Name,1) (Donnerwetter,1) (Kommi,1) (Eigenschaft,1) (haben,3) (Urteil,1) (herantreten,1) (Zeit,1) (hintreten,1) (Vater,1) (Unternehmer,1) (Geschäftsdiener,1) (Frühstück,1) (alt,1) (Launen,1) (verpflichten,1) (müssen,1) (möglich,1) (ihr,1) (Prokurist,1) (Lehrjung,1) (Posten,1) (hastig,1) (Verstand,1) (Herr,4) (Schwerhörigkeit,1) (sagen,1) (sein,6) (sonderbar,1) (nahe,1) (einholen,1) (gut,2) (kommen,1) (bitten,1) (Überblick,1) (erstatten,1) (angestellter,1) (Eltern,2) (erscheinen,1) (Stelle,1) (wissen,1) (vermeiden,1) (paradieren,1) (versuchen,1) (Geld,1) (augenblicklich,1) (verlieren,1) (empfehlen,1) (lang,1) (Güte,1) (deuten,1) (Meinung,1) (Zug,1) (Forderung,1) (Schuld,1) (abtragen,1) (Kreatur,1) (Rückgrat,1) (Krankenkassenarzt,1) (werden,4)
First Hash - zurückhalten -- Second zurückhalten  (sagen,1) (rufen,1) (lassen,1) (Besen,1) (spät,1) (Bewegung,1) (tun,1) (müssen,1) (Gewalt,1) (Gregor,1) (wollen,1) (Herr,1)
First Hash - beglückt -- Second beglückt  (Bargeld,1) (erstaunt,1) (Tisch,1) (Haus,1) (Familie,1) (verwandeln,1)
First Hash - nützlich -- Second nützlich  (Zimmer,1) (leben,1) (sollen,1) (Tür,1) (Schreckgestalt,1) (werden,1)
First Hash - rechter -- Second rechter  (können,2) (sein,1) (Tür,1) (weit,1) (undurchführbar,1) (Teil,1) (haben,1) (gewöhnen,1) (Lage,1) (bringen,1) (Kraft,1) (Vorstellung,1) (Vater,1) (Knöpf,1) (lehnen,1) (schlafen,1) (Vorzimmer,1) (strecken,1) (machen,1) (Seite,2) (schaukeln,1) (Hand,2) (Treppe,1) (geschlossen,1) (verbrennen,1) (sehen,1) (werfen,1)
First Hash - aufklären -- Second aufklären  (besänftigen,1) (haben,1) (Möglichkeit,1) (suchen,1) (Zeit,1) (Vater,1)
First Hash - nehmen -- Second nehmen  (Bedenken,1) (Hüte,1) (Frau,1) (gelegen,1) (schweigen,1) (sollen,1) (Hausmeisterin,1) (Wand,1) (Gregor,5) (Speise,1) (Wort,1) (letzter,2) (Besserung,1) (Violinspiel,1) (haben,4) (legen,1) (böse,1) (sicher,1) (vorüberkommen,1) (ziehen,1) (lassen,1) (Frühstück,1) (Ende,1) (Auge,1) (Führer,1) (gelangen,1) (Serviette,1) (laufen,1) (Mal,1) (einholen,1) (aufhalten,1) (Körper,1) (gänzlich,1) (eintreten,1) (Gewohnheit,1) (Hunger,1) (gewöhnen,1) (Gabel,1) (Mund,1) (verlieren,1) (klein,1) (Hosentasche,1) (verstehen,1) (dankbar,1) (Bissen,1) (zurückzuwandern,1) (Türe,1) (leidend,1) (jetzig,1) (Zustand,1) (schicken,1) (können,2) (Kleiderrechen,1) (früh,2) (gering,1) (Stimme,1) (Medizin,1) (Gedanke,2) (Zimmer,2) (Zerstreuung,1) (ausgesucht,1) (Speisekammer,1) (Zeit,2) (Vater,2) (Überzeugung,1) (Auffallend,1) (vorbereitet,1) (Vorzimmer,1) (Wohnung,1) (alt,1) (tragen,1) (Fläschchen,1) (Hand,3) (Schrecken,1) (Grete,1) (auffallend,1) (Anlauf,1) (tatsächlich,1) (umdrehen,1) (entfalten,1) (Zimmerherre,1) (räumen,1) (Rücksicht,2) (wiederholen,1) (sagen,2) (sein,2) (schließen,2) (Kasten,1) (praktisch,1) (Sache,1) (liefern,1) (gebühren,1) (erscheinen,1) (Zufriedenheit,1) (Geld,1) (stören,1) (Familie,2) (kehren,1) (Gret,1) (lang,2) (Vergnügen,1) (Anspruch,1) (machen,1) (lieb,1) (Rücksichtnahme,1) (Messer,1) (folgen,1) (Ausblick,1) (Spiel,1) (gegeß,1) (Mutter,1) (umfloß,1) (sehen,1) (werden,2) (achten,1)
First Hash - gründlich -- Second gründlich  (aufrecht,1) (melden,1) (werden,2) (tun,1) (ausfragen,1)
First Hash - wehren -- Second wehren  (können,1) (sein,1) (unmöglich,1) (anfangen,1) (Beschwerde,1) (beschreiben,1) (erfahren,1) (entscheiden,1) (werden,1) (ausgestreckt,1) (Hand,1) (wollen,1)
First Hash - angebracht -- Second angebracht  (Zimmer,1) (sein,1) (Bank,1) (Goldmonogramm,1) (ganz,1) (wahrscheinlich,1)
First Hash - langsam -- Second langsam  (Rücken,1) (unruhig,1) (Bärt,1) (sollen,1) (ernsthaft,1) (Bedienerin,1) (Zeichen,1) (eindringen,1) (Gregor,5) (derartig,1) (Zimmer,1) (Wort,2) (Bauch,1) (Bettpfosten,1) (nah,1) (offen,1) (wirklich,1) (haben,3) (Wirklichkeit,1) (vertreiben,1) (erbittert,1) (beweglich,1) (Wendung,1) (Sessel,1) (unsichtbar,1) (zurückwich,1) (Vater,1) (Körpermasse,1) (einpacken,1) (herumdrehen,1) (Schlüssel,1) (Violine,1) (lehnen,1) (Kassiererin,1) (lassen,1) (ganze,1) (alt,2) (gehen,4) (halten,1) (Zeigefinger,1) (schwer,1) (müssen,1) (Auge,1) (Treppe,1) (öffnen,1) (Schwester,1) (umdrehen,3) (drücken,1) (schütteln,1) (Verfolgung,1) (Herr,1) (sagen,1) (Tempos,1) (Anschein,1) (viertelstundenlang,1) (bedächtig,1) (schieben,2) (kommen,1) (Möglichkeit,1) (vorwärtsbewegend,1) (hinfällig,1) (Tür,1) (Mantel,1) (ereignen,1) (Entscheidend,1) (erscheinen,1) (langsam,2) (Rückwärtsgehen,1) (Kopf,4) (Mund,1) (verlieren,1) (lang,1) (zurückziehen,1) (gesammelt,1) (rühren,1) (ständig,1) (Hutgeschäft,1) (folgen,1) (Türflügel,1) (vorsichtig,1) (bewerben,1) (Mutter,2) (Feiertag,1) (sehen,2) (Angriff,1) (werden,1) (schrecken,1) (weichen,1) (wild,1) (rasch,1) (horchen,1) (merken,1) (wenden,1) (Schwere,1)
First Hash - Gestalt -- Second Gestalt  (gegenwärtig,1) (sein,1) (Familienglied,1) (traurig,1) (ekelhaft,1) (Feind,1)
First Hash - Glas -- Second Glas  (kleben,1) (festhieln,1) (sein,1) (preßen,1) (kroch,1) (Bauch,1) (hängen,1) (heißen,1) (losreißen,1) (Zeit,1) (müssen,1) (Gewalt,1)
First Hash - verschaffen -- Second verschaffen  (können,1) (Ohnmacht,1) (schön,1) (Wohnung,1) (haben,1) (Ruhe,1) (Wohlstand,1) (Mutter,1) (Atemfreiheit,1) (zulief,1) (entkleiden,1) (Vater,1)
First Hash - erfreut -- Second erfreut  (Türe,1) (unerwartet,1) (Sparsamkeit,1) (nicken,1) (Vorsicht,1) (eifrig,1)
First Hash - billigen -- Second billigen  (aufmerksam,1) (vollständig,1) (zuhören,1) (spät,1) (müssen,1) (Gewalt,1)
First Hash - zurückstoßen -- Second zurückstoßen  (Zimmer,1) (Wohnzimmer,1) (unsicher,1) (sehen,1) (wollen,1) (Gregor,1)
First Hash - Zusammensturz -- Second Zusammensturz  (entladend,1) (Violine,1) (warten,1) (Augenblick,1) (schrecken,1) (allgemein,1)
First Hash - unverkennbar -- Second unverkennbar  (sein,1) (hören,1) (früh,1) (antwortend,1) (Stimme,1) (unterdrückend,1)
First Hash - Lunge -- Second Lunge  (haben,1) (besessen,1) (früh,1) (dahintorkeln,1) (Zeit,1) (vertrauenswürdig,1)
First Hash - pflegen -- Second pflegen  (sagen,2) (können,1) (Unglück,1) (sein,4) (vorlesen,1) (Genüge,1) (Vorlesen,1) (stehenbleiben,1) (groß,1) (Stimme,1) (abwechselnd,1) (Leben,1) (Gregor,1) (haben,1) (versuchen,1) (gelassen,1) (Menschenmöglich,1) (erhoben,1) (scharf,1) (Vater,1) (Stunde,1) (beobachten,1) (geschehen,1) (Wohnung,1) (hören,1) (erfahren,1) (glauben,1) (Erklärung,1) (öffnen,1) (dulden,1) (Schwester,1) (traurig,1) (Dunkel,1) (Mutter,1) (werden,1) (Ding,1) (wiederholen,2)
First Hash - umflatternd -- Second umflatternd  (weiß,1) (Morgen,1) (kommen,1) (Haar,1) (Kopf,1) (Bedienerin,1)
First Hash - recht -- Second recht  (erschrecken,1) (sein,2) (unbeweglich,1) (gehören,1) (treffen,1) (Zeichen,1) (Gregor,2) (weit,1) (Teil,1) (wissen,1) (haben,3) (Lehnstuhl,1) (empfangen,1) (zeigen,1) (klein,1) (Nachklang,1) (zerstören,1) (aufstellen,1) (Fenster,1) (müssen,1) (öffnen,2) (Prokurist,1) (geben,1) (sehen,1) (aufstehen,1)
First Hash - sorgfältig -- Second sorgfältig  (freistand,1) (Einschaltung,1) (haben,1) (Bin,1) (Aussprache,1) (Zacke,1) (Wand,1) (geschnitzt,1) (fertig,1) (lang,1) (Möbel,1) (bemühen,1)
First Hash - näherer -- Second näherer  (Aussicht,1) (sein,1) (Zukunft,1) (schlecht,1) (finden,1) (Betrachtung,1)
First Hash - gute -- Second gute  (Fuß,1) (Güte,1) (Samsa,1) (haben,1) (Morgen,1) (Schwester,2) (bitten,1) (entschuldigen,1) (Essen,1) (werfen,1) (Herr,1)
First Hash - Grußwort -- Second Grußwort  (wissen,1) (hören,1) (Besucher,1) (brauchen,1) (Gregor,1) (erster,1)
First Hash - erfolglos -- Second erfolglos  (sein,1) (mühevoll,1) (Ferien,1) (Leben,1) (erster,1) (Fett,1)
First Hash - Klebstoff -- Second Klebstoff  (Ballen,1) (setzen,1) (ruhen,1) (haben,1) (Kriechen,1) (Kopf,1) (Beinchen,1) (lang,1) (Augenblick,1) (hinterlassen,1) (Spur,1) (Gregor,1)
First Hash - scheuern -- Second scheuern  (Rücken,1) (haben,2) (legen,1) (Zustand,1) (Teppich,1)
First Hash - Quälerei -- Second Quälerei  (können,2) (Haus,1) (ertragen,1) (brechen,1) (ewig,1)
First Hash - Familienmitglied -- Second Familienmitglied  (aufmerksam,1) (sein,2) (anderer,1) (bleiben,1) (Gespräch,1) (Thema,1) (Haus,2) (gleich,1) (werden,1) (Gregor,1)
First Hash - Vollbärt -- Second Vollbärt  (feststellen,1) (Türspalt,1) (haben,1) (ernst,1) (Gregor,1) (Herr,1)
First Hash - Auftraggeber -- Second Auftraggeber  (Frau,1) (Prinzipal,1) (Samsa,1) (Direktion,1) (Gret,1) (schreiben,1)
First Hash - schwanken -- Second schwanken  (leicht,1) (Dienstzeit,1) (ganz,1) (Richtung,1) (wollen,1) (ärgern,1)
First Hash - Stuhles -- Second Stuhles  (Rücklehne,1) (Rand,1) (fallen,1) (nah,1) (lassen,1) (Beinchen,1)
First Hash - Bild -- Second Bild  (kurz,1) (können,1) (Lieber,1) (sein,2) (reisend,1) (illustriert,1) (heißen,1) (Pelzwerk,1) (Wand,1) (hing,1) (Rettung,1) (Gregor,1) (wohltat,1) (kleben,1) (leer,1) (Bauch,1) (Dame,1) (versuchen,1) (helfen,1) (Zeit,1) (wollen,1) (Zeitschrift,1) (auffallend,1) (gekleidet,1) (geben,1) (werden,2) (sitzen,1) (verdecken,1)
First Hash - Kosten -- Second Kosten  (Jahr,1) (anderer,1) (groß,1) (verursachen,1) (müssen,1) (Rücksicht,1)
First Hash - kümmern -- Second kümmern  (sagen,1) (sein,2) (Wohnung,1) (übrig,1) (Widerreden,1) (unbedingt,1) (Gregor,1) (Erklärung,1) (Vorgang,1) (haben,2) (nötig,1) (Schwester,1) (Familie,1) (Zeit,1) (werden,1) (fassen,1)
First Hash - Entsetzen -- Second Entsetzen  (bleiben,1) (Rückwärtsgehen,1) (Richtung,1) (Gregor,1) (merken,1) (einhalten,1)
First Hash - Kapital -- Second Kapital  (Türe,1) (haben,1) (ansammeln,1) (werden,1) (Gregor,1) (klein,1)
First Hash - geöffnet -- Second geöffnet  (Stuhl,1) (sein,1) (dastand,1) (Mund,1) (groß,1) (hoch,1)
First Hash - entzündet -- Second entzündet  (Rücken,1) (Apfel,1) (Umgebung,1) (Staub,1) (verfault,1) (weich,1)
First Hash - knarr -- Second knarr  (Lackstiefel,1) (flüstern,1) (lassen,1) (Schwester,1) (Nebenzimmer,1) (Schritt,1)
First Hash - antwort -- Second antwort  (ausführlich,1) (sein,1) (Zimmer,1) (Eltern,1) (beschränken,1) (verbarrikadieren,1) (haben,1) (machen,1) (erklären,1) (schwer,1) (Gregor,1) (wollen,1)
First Hash - Bedarf -- Second Bedarf  (Schlüssel,1) (aufrecht,1) (Mund,1) (drücken,1) (hing,1) (halten,1)
First Hash - Zeichen -- Second Zeichen  (kommend,1) (Ratlosigkeit,1) (denken,1) (sein,5) (zucken,1) (heben,1) (gut,1) (sollen,1) (gleich,1) (Weinen,1) (läuten,1) (Frühjahr,1) (langsam,1) (Stelle,1) (Morgen,1) (Mädchen,1) (zurückziehen,1) (heftig,2) (schlagen,1) (verstehen,1) (recht,1) (Hand,1) (Regen,1) (Freude,1) (Schwester,2) (Gegensatz,1) (Wein,1) (Achsel,1) (aufstehen,1) (Arm,1)
First Hash - spie -- Second spie  (denken,1) (kurz,1) (sein,1) (Verhältnis,1) (herrschend,1) (entschlossen,1) (Trauer,1) (stundenlang,1) (Boden,1) (Mund,1) (halten,1) (widerlich,1)
First Hash - zupfen -- Second zupfen  (sagen,1) (stehen,1) (Rock,1) (Violine,1) (schließen,1) (Schmeichelwort,1) (Schwester,1) (mögen,1) (Mutter,1) (Ärmel,1) (vordringen,1) (andeuten,1)
First Hash - besetzen -- Second besetzen  (beurteilen,1) (sein,1) (weiß,1) (verstehen,1) (Pünktchen,1) (klein,1)
First Hash - mittlerer -- Second mittlerer  (sagen,2) (drängen,1) (Zimmerherr,1) (sein,1) (bestürzt,1) (Bedienerin,1) (Tür,1) (Gregor,1) (rufen,1) (Fuß,1) (Zimmer,1) (donnernd,1) (haben,2) (Nachtmahl,1) (Fräulein,1) (verstummen,1) (fragen,1) (zeigen,1) (beenden,1) (Vater,1) (Violine,1) (lassen,1) (meinen,1) (Frühstück,1) (hervorziehen,1) (kopfschüttelnd,1) (Zeitung,1) (Samsa,1) (Gegenteil,1) (werden,1) (möchten,1) (mürrisch,1) (Herr,6) (lächeln,2)
First Hash - versehen -- Second versehen  (Pelzhut,1) (Pelzmuff,1) (Dame,1) (aufrecht,1) (Pelzboa,1) (schwer,1)
First Hash - Sofa -- Second Sofa  (offen,1) (zweiter,1) (Tag,1) (Atembeschwerde,1) (Fenster,1) (verbringen,1)
First Hash - Sorge -- Second Sorge  (denken,1) (Voraussicht,1) (sein,7) (erwähnen,1) (vorläufig,1) (gut,1) (Reisen,1) (Ordnung,1) (geschäftlich,1) (sollen,1) (unregelmäßig,1) (tun,1) (Gregor,2) (abhanden,1) (Eltern,2) (aufschrecken,1) (Teil,1) (wissen,1) (haben,3) (Zuganschluß,1) (augenblicklich,1) (fragen,1) (versäumen,1) (Hoffnung,1) (undeutlich,1) (machen,1) (auferlegen,1) (schwer,1) (daranzusetz,1) (müssen,1) (Schwester,1) (schlecht,1) (Schluß,1) (Plage,1) (unnötig,2) (werden,1) (verbringen,1)
First Hash - genügt -- Second genügt  (Jahr,1) (leben,1) (lassen,1) (erhalten,1) (Familie,1) (Zins,1)
First Hash - springen -- Second springen  (versunken,1) (Gesicht,1) (scheinen,1) (Wort,1) (haben,1) (Boden,1) (liegen,1) (einemmal,1) (Gret,2) (werden,1) (entfernt,1)
First Hash - bedrücken -- Second bedrücken  (sein,1) (leer,1) (Gegenteil,1) (Wand,1) (Fall,1) (Anblick,1)
First Hash - Gespräch -- Second Gespräch  (Frau,1) (sein,1) (erwähnen,1) (bedächtig,1) (Gregor,2) (anderer,1) (Wort,1) (handeln,1) (Stadt,1) (gesenkt,1) (Kopf,1) (halblaut,1) (verlieren,1) (Zeit,1) (ziehen,1) (klein,1) (aufnehmen,1) (allmählich,1) (rühren,1) (hingewenden,1) (Fenster,1) (müssen,1) (erster,1) (Erklärung,1) (Konservatorium,1) (Schwester,1) (geben,1) (Familienmitglied,1) (Tag,1) (geheim,1) (werden,2) (unterbrochen,1) (schlürfen,1) (gnädig,1)
